year,fips,democrat,green,nonaffiliated,republican,votetotal,percent
2000,5089,2233,220,160,3402,6015,19.43474647
2000,5091,6278,100,91,7276,13745,7.260822117
2000,5093,7107,110,170,5199,12586,15.15970126
2000,5095,1910,29,25,1329,3293,17.64348618
2000,5097,1438,101,72,2128,3739,18.45413212
2000,5099,1867,42,33,1796,3738,1.89941145
2000,5101,1205,112,81,2529,3927,33.7153043
2000,5103,5464,100,92,4739,10395,6.974506975
2000,5105,1648,61,184,2114,4007,11.62964812
2000,5107,6018,75,66,3154,9313,30.75271126
2000,5109,1604,45,47,2275,3971,16.89750693
2000,5111,4102,87,58,2988,7235,15.39737388
2000,5113,2315,130,148,4600,7193,31.76699569
2000,5115,6669,259,250,11244,18422,24.83443709
2000,5117,1563,29,53,1862,3507,8.525805532
2000,5119,68320,1756,1209,55866,127151,9.794653601
2000,5121,3019,84,101,2673,5877,5.887357495
2000,5123,4986,42,54,3414,8496,18.50282486
2000,5125,12700,533,541,18617,32391,18.26741996
2000,5127,1444,48,90,2399,3981,23.9889475
2000,5129,1229,83,136,2610,4058,34.03154263
2000,5131,15555,503,618,23483,40159,19.74152743
2000,5133,2095,55,32,2111,4293,0.372699744
2000,5135,3236,115,77,3698,7126,6.483300589
2000,5137,2043,98,96,2623,4860,11.93415638
2000,5139,6261,130,571,8647,15609,15.28605292
2000,5141,3202,153,144,3485,6984,4.052119129
2000,5143,21425,1208,595,28231,51459,13.22606347
2000,5145,8342,243,395,13170,22150,21.79683973
2000,5147,1699,19,35,898,2651,30.2150132
2000,5149,3062,78,116,3223,6479,2.484951381
2000,6001,342889,27499,4669,119279,494336,45.23441546
2000,6003,265,25,15,281,586,2.730375427
2000,6005,5906,584,208,8766,15464,18.49456803
2000,6007,31338,5727,1072,45584,83721,17.01604138
2000,6009,7093,863,321,10599,18876,18.57385039
2000,6011,1745,151,65,3629,5590,33.70304114
2000,6013,224338,13067,2700,141373,381478,21.74830528
2000,6015,3117,485,166,4526,8294,16.98818423
2000,6017,26220,3013,858,42045,72136,21.93772873
2000,6019,95059,6541,1893,117342,220835,10.09033894
2000,6021,2498,268,150,5795,8711,37.84869705
2000,6023,24851,7100,802,23219,55972,2.915743586
2000,6025,15489,608,316,12524,28937,10.24639735
2000,6027,2652,344,106,4713,7815,26.37236084
2000,6029,66003,3474,2168,110663,182308,24.49700507
2000,6031,11041,567,350,16377,28335,18.83183342
2000,6033,10717,1265,238,8699,20919,9.646732635
2000,6035,2982,339,185,7080,10586,38.71150576
2000,6037,1710505,83731,28988,871930,2695154,31.11417752
2000,6039,11650,1080,382,20283,33395,25.85117533
2000,6041,79135,8289,859,34872,123155,35.9408875
2000,6043,2816,379,152,4727,8074,23.66856577
2000,6045,16634,5051,453,12272,34410,12.67654752
2000,6047,22726,1166,424,26102,50418,6.696021262
2000,6049,945,122,71,2969,4107,49.28171415
2000,6051,1788,230,57,2296,4371,11.62205445
